Id,Occurrences
"Sicilian: Pin, Koch",1
Sicilian: Kan,5
"Sicilian: Kan, Maróczy Bind, Réti",2
"Sicilian: Kan, Modern",1
"Sicilian: Kan, Knight",2
Sicilian: Taimanov,4
"Sicilian: Taimanov, Normal",3
"Sicilian: Taimanov, Bastrikov",3
Sicilian: Moderns,60
"Sicilian: Moderns, Anti-Qxd4 Move Order",2
"Sicilian: Moderns, Anti-Qxd4 Move Order Accepted",1
Sicilian: Moscow,5
"Sicilian: Canal Attack, Main Line",3
Sicilian: Chekhover,3
"Sicilian: Moderns, Main Line",44
Sicilian: Prins,1
Sicilian: Classical,6
Sicilian: Venice Attack,2
"Sicilian: Sozin, not Scheveningen",1
Sicilian: Richter-Rauzer,4
"Sicilian: Richter-Rauzer, Modern",1
"Sicilian: Richter-Rauzer, Traditional",2
"Sicilian: Richter-Rauzer, Neo-Modern, Early Deviations",2
"Sicilian: Richter-Rauzer, Neo-Modern",1
Sicilian: Dragon,6
"Sicilian: Dragon, Levenfish",2
"Sicilian: Dragon, Yugoslav Attack, Early Deviations",4
"Sicilian: Dragon, Yugoslav Attack",3
"Sicilian: Dragon, Yugoslav Attack, Panov",2
"Sicilian: Dragon, Yugoslav Attack, Czerniak",1
"Sicilian: Dragon, Yugoslav Attack, Main Line",1
"Sicilian: Scheveningen, English Attack",2
"Sicilian: Scheveningen, Classical",1
Sicilian: Najdorf,31
"Sicilian: Najdorf, Adams Attack",4
"Sicilian: Najdorf, English Attack",3
"Sicilian: Najdorf, Freak Attack",2
"Sicilian: Najdorf, Opocensky",2
"Sicilian: Najdorf, Opocensky, Traditional Line",1
"Sicilian: Najdorf, Neo-Classical",1
"Sicilian: Najdorf, Poisoned Pawn Accepted",1
"Sicilian: Najdorf, Poisoned Pawn",2
"Sicilian: Najdorf, Browne",1
"Sicilian: Najdorf, Traditional Line",1
"Sicilian: Najdorf, Main Line",3
French,62
French: Chigorin,3
French: KIA,7
French: Knight,2
French: Normal,26
French: Schlechter,3
French: Two Knights,1
French: Exchange,1
French: Advance,4
"French: Advance, Euwe",1
"French: Advance, Milner-Barry Gambit",1
"French: Advance, Nimzowitsch System",2
"French: Advance, Paulsen Attack",1
French: Tarrasch,8
"French: Tarrasch, Guimard",1
"French: Tarrasch, Guimard, Main Line",1
"French: Tarrasch, Closed",2
"French: Tarrasch, Pawn Center",1
"French: Tarrasch, Chistyakov",1
"French: Tarrasch, Open System",2
"French: Tarrasch, Open System, Main Line",1
French: Paulsen,8
French: Rubinstein,2
"French: Rubinstein, Blackburne",1
"French: Rubinstein, Fort Knox",4
